index,model_abbr,region_id,forecast_date,target_date,target_type,value
24,COVIDhub-ensemble,1,2020-09-07,2020-09-14,cases,6135.0
32,COVIDhub-ensemble,1,2020-09-07,2020-09-14,deaths,113.0
80,COVIDhub-ensemble,1,2020-09-07,2020-09-21,cases,5337.0
88,COVIDhub-ensemble,1,2020-09-07,2020-09-21,deaths,107.0
136,COVIDhub-ensemble,1,2020-09-07,2020-09-28,cases,4842.0
144,COVIDhub-ensemble,1,2020-09-07,2020-09-28,deaths,91.0
192,COVIDhub-ensemble,1,2020-09-07,2020-10-05,cases,4540.0
200,COVIDhub-ensemble,1,2020-09-07,2020-10-05,deaths,81.0
224,COVIDhub-ensemble,1001,2020-09-07,2020-09-14,cases,63.0
232,COVIDhub-ensemble,1001,2020-09-07,2020-09-21,cases,63.0
240,COVIDhub-ensemble,1001,2020-09-07,2020-09-28,cases,62.0
248,COVIDhub-ensemble,1001,2020-09-07,2020-10-05,cases,59.0
256,COVIDhub-ensemble,1003,2020-09-07,2020-09-14,cases,208.0
264,COVIDhub-ensemble,1003,2020-09-07,2020-09-21,cases,188.0
272,COVIDhub-ensemble,1003,2020-09-07,2020-09-28,cases,175.0
280,COVIDhub-ensemble,1003,2020-09-07,2020-10-05,cases,166.0
288,COVIDhub-ensemble,1005,2020-09-07,2020-09-14,cases,6.0
296,COVIDhub-ensemble,1005,2020-09-07,2020-09-21,cases,6.0
304,COVIDhub-ensemble,1005,2020-09-07,2020-09-28,cases,7.0
312,COVIDhub-ensemble,1005,2020-09-07,2020-10-05,cases,7.0
320,COVIDhub-ensemble,1007,2020-09-07,2020-09-14,cases,24.0
328,COVIDhub-ensemble,1007,2020-09-07,2020-09-21,cases,23.0
336,COVIDhub-ensemble,1007,2020-09-07,2020-09-28,cases,23.0
344,COVIDhub-ensemble,1007,2020-09-07,2020-10-05,cases,24.0
352,COVIDhub-ensemble,1009,2020-09-07,2020-09-14,cases,58.0
360,COVIDhub-ensemble,1009,2020-09-07,2020-09-21,cases,57.0
368,COVIDhub-ensemble,1009,2020-09-07,2020-09-28,cases,54.0
376,COVIDhub-ensemble,1009,2020-09-07,2020-10-05,cases,51.0
384,COVIDhub-ensemble,1011,2020-09-07,2020-09-14,cases,8.0
392,COVIDhub-ensemble,1011,2020-09-07,2020-09-21,cases,7.0
400,COVIDhub-ensemble,1011,2020-09-07,2020-09-28,cases,7.0
408,COVIDhub-ensemble,1011,2020-09-07,2020-10-05,cases,7.0
416,COVIDhub-ensemble,1013,2020-09-07,2020-09-14,cases,23.0
424,COVIDhub-ensemble,1013,2020-09-07,2020-09-21,cases,23.0
432,COVIDhub-ensemble,1013,2020-09-07,2020-09-28,cases,23.0
440,COVIDhub-ensemble,1013,2020-09-07,2020-10-05,cases,23.0
448,COVIDhub-ensemble,1015,2020-09-07,2020-09-14,cases,212.0
456,COVIDhub-ensemble,1015,2020-09-07,2020-09-21,cases,192.0
464,COVIDhub-ensemble,1015,2020-09-07,2020-09-28,cases,175.0
472,COVIDhub-ensemble,1015,2020-09-07,2020-10-05,cases,166.0
480,COVIDhub-ensemble,1017,2020-09-07,2020-09-14,cases,4.0
488,COVIDhub-ensemble,1017,2020-09-07,2020-09-21,cases,3.0
496,COVIDhub-ensemble,1017,2020-09-07,2020-09-28,cases,4.0
504,COVIDhub-ensemble,1017,2020-09-07,2020-10-05,cases,5.0
512,COVIDhub-ensemble,1019,2020-09-07,2020-09-14,cases,23.0
520,COVIDhub-ensemble,1019,2020-09-07,2020-09-21,cases,21.0
528,COVIDhub-ensemble,1019,2020-09-07,2020-09-28,cases,19.0
536,COVIDhub-ensemble,1019,2020-09-07,2020-10-05,cases,17.0
544,COVIDhub-ensemble,1021,2020-09-07,2020-09-14,cases,78.0
552,COVIDhub-ensemble,1021,2020-09-07,2020-09-21,cases,87.0
560,COVIDhub-ensemble,1021,2020-09-07,2020-09-28,cases,81.0
568,COVIDhub-ensemble,1021,2020-09-07,2020-10-05,cases,74.0
576,COVIDhub-ensemble,1023,2020-09-07,2020-09-14,cases,7.0
584,COVIDhub-ensemble,1023,2020-09-07,2020-09-21,cases,7.0
592,COVIDhub-ensemble,1023,2020-09-07,2020-09-28,cases,7.0
