fips,date,state,country,aggregate_level,current_icu,current_hospitalized
48001,2020-04-12,TX,USA,county,1,2
48001,2020-04-13,TX,USA,county,1,2
48001,2020-04-14,TX,USA,county,1,2
48001,2020-04-15,TX,USA,county,1,2
48001,2020-04-16,TX,USA,county,1,2
48001,2020-04-17,TX,USA,county,1,3
48001,2020-04-18,TX,USA,county,1,2
48001,2020-04-19,TX,USA,county,1,3
48001,2020-04-20,TX,USA,county,1,3
48001,2020-04-21,TX,USA,county,1,3
48001,2020-04-22,TX,USA,county,2,4
48001,2020-04-23,TX,USA,county,1,3
48001,2020-04-24,TX,USA,county,1,3
48001,2020-04-25,TX,USA,county,1,3
48001,2020-04-26,TX,USA,county,1,3
48001,2020-04-27,TX,USA,county,1,3
48001,2020-04-28,TX,USA,county,1,3
48001,2020-04-29,TX,USA,county,1,3
48001,2020-04-30,TX,USA,county,1,3
48001,2020-05-01,TX,USA,county,1,4
48001,2020-05-02,TX,USA,county,2,4
48001,2020-05-03,TX,USA,county,2,6
48001,2020-05-04,TX,USA,county,2,4
48001,2020-05-05,TX,USA,county,1,3
48001,2020-05-06,TX,USA,county,1,3
48001,2020-05-07,TX,USA,county,1,3
48001,2020-05-08,TX,USA,county,1,3
48001,2020-05-09,TX,USA,county,1,3
48001,2020-05-10,TX,USA,county,1,3
48001,2020-05-11,TX,USA,county,1,3
48001,2020-05-12,TX,USA,county,1,3
48001,2020-05-13,TX,USA,county,1,2
48001,2020-05-14,TX,USA,county,1,2
48001,2020-05-15,TX,USA,county,1,3
48001,2020-05-16,TX,USA,county,1,2
48001,2020-05-17,TX,USA,county,1,2
48001,2020-05-18,TX,USA,county,1,2
48001,2020-05-19,TX,USA,county,1,2
48001,2020-05-20,TX,USA,county,1,2
48001,2020-05-21,TX,USA,county,1,2
48001,2020-05-22,TX,USA,county,1,2
48001,2020-05-23,TX,USA,county,1,3
48001,2020-05-24,TX,USA,county,1,2
48001,2020-05-25,TX,USA,county,1,2
48001,2020-05-26,TX,USA,county,1,2
48001,2020-05-27,TX,USA,county,1,3
48001,2020-05-28,TX,USA,county,1,3
48001,2020-05-29,TX,USA,county,1,3
48001,2020-05-30,TX,USA,county,1,3
48001,2020-05-31,TX,USA,county,1,3
48001,2020-06-01,TX,USA,county,2,3
48001,2020-06-02,TX,USA,county,2,3
48001,2020-06-03,TX,USA,county,2,3
48001,2020-06-04,TX,USA,county,1,3
48001,2020-06-05,TX,USA,county,1,3
48001,2020-06-06,TX,USA,county,1,3
48001,2020-06-07,TX,USA,county,2,3
48001,2020-06-08,TX,USA,county,1,3
48001,2020-06-09,TX,USA,county,2,3
48001,2020-06-10,TX,USA,county,2,3
48001,2020-06-11,TX,USA,county,1,3
48001,2020-06-12,TX,USA,county,1,3
48001,2020-06-13,TX,USA,county,1,3
48001,2020-06-14,TX,USA,county,2,3
48001,2020-06-15,TX,USA,county,2,3
48001,2020-06-16,TX,USA,county,2,4
