TSA ID,TSA AREA,date,current_hospitalized,current_icu
A,Amarillo,2020-04-12,17.0,4.0
A,Amarillo,2020-04-13,17.0,5.0
A,Amarillo,2020-04-14,17.0,5.0
A,Amarillo,2020-04-15,40.0,2.0
A,Amarillo,2020-04-16,18.0,6.0
A,Amarillo,2020-04-17,24.0,9.0
A,Amarillo,2020-04-18,18.0,5.0
A,Amarillo,2020-04-19,35.0,10.0
A,Amarillo,2020-04-20,17.0,6.0
A,Amarillo,2020-04-21,17.0,6.0
A,Amarillo,2020-04-22,41.0,21.0
A,Amarillo,2020-04-23,41.0,21.0
A,Amarillo,2020-04-24,40.0,17.0
A,Amarillo,2020-04-25,46.0,19.0
A,Amarillo,2020-04-26,59.0,26.0
A,Amarillo,2020-04-27,64.0,29.0
A,Amarillo,2020-04-28,67.0,34.0
A,Amarillo,2020-04-29,82.0,39.0
A,Amarillo,2020-04-30,84.0,37.0
A,Amarillo,2020-05-01,87.0,37.0
A,Amarillo,2020-05-02,91.0,40.0
A,Amarillo,2020-05-03,101.0,47.0
A,Amarillo,2020-05-04,94.0,44.0
A,Amarillo,2020-05-05,90.0,41.0
A,Amarillo,2020-05-06,96.0,40.0
A,Amarillo,2020-05-07,109.0,51.0
A,Amarillo,2020-05-08,112.0,48.0
A,Amarillo,2020-05-09,109.0,46.0
A,Amarillo,2020-05-10,103.0,43.0
A,Amarillo,2020-05-11,98.0,43.0
A,Amarillo,2020-05-12,94.0,43.0
A,Amarillo,2020-05-13,82.0,36.0
A,Amarillo,2020-05-14,84.0,35.0
A,Amarillo,2020-05-15,79.0,31.0
A,Amarillo,2020-05-16,80.0,33.0
A,Amarillo,2020-05-17,72.0,30.0
A,Amarillo,2020-05-18,68.0,24.0
A,Amarillo,2020-05-19,70.0,22.0
A,Amarillo,2020-05-20,75.0,21.0
A,Amarillo,2020-05-21,63.0,26.0
A,Amarillo,2020-05-22,53.0,21.0
A,Amarillo,2020-05-23,55.0,20.0
A,Amarillo,2020-05-24,55.0,22.0
A,Amarillo,2020-05-25,55.0,21.0
A,Amarillo,2020-05-26,61.0,23.0
A,Amarillo,2020-05-27,59.0,21.0
A,Amarillo,2020-05-28,63.0,28.0
A,Amarillo,2020-05-29,24.0,24.0
A,Amarillo,2020-05-30,58.0,26.0
A,Amarillo,2020-05-31,39.0,23.0
A,Amarillo,2020-06-01,47.0,19.0
A,Amarillo,2020-06-02,45.0,20.0
A,Amarillo,2020-06-03,46.0,18.0
A,Amarillo,2020-06-04,38.0,15.0
A,Amarillo,2020-06-05,31.0,15.0
A,Amarillo,2020-06-06,32.0,13.0
A,Amarillo,2020-06-07,31.0,13.0
A,Amarillo,2020-06-08,25.0,9.0
A,Amarillo,2020-06-09,29.0,15.0
A,Amarillo,2020-06-10,25.0,10.0
A,Amarillo,2020-06-11,23.0,10.0
A,Amarillo,2020-06-12,17.0,8.0
A,Amarillo,2020-06-13,18.0,7.0
A,Amarillo,2020-06-14,17.0,7.0
A,Amarillo,2020-06-15,16.0,8.0
A,Amarillo,2020-06-16,25.0,11.0
A,Amarillo,2020-06-17,23.0,8.0
A,Amarillo,2020-06-18,24.0,8.0
A,Amarillo,2020-06-19,22.0,9.0
A,Amarillo,2020-06-20,20.0,10.0
A,Amarillo,2020-06-21,22.0,10.0
A,Amarillo,2020-06-22,23.0,10.0
A,Amarillo,2020-06-23,23.0,10.0
A,Amarillo,2020-06-24,27.0,8.0
A,Amarillo,2020-06-25,25.0,9.0
A,Amarillo,2020-06-26,22.0,9.0
A,Amarillo,2020-06-27,21.0,9.0
A,Amarillo,2020-06-28,20.0,9.0
A,Amarillo,2020-06-29,22.0,10.0
A,Amarillo,2020-06-30,25.0,10.0
A,Amarillo,2020-07-01,25.0,10.0
A,Amarillo,2020-07-02,27.0,10.0
A,Amarillo,2020-07-03,23.0,12.0
A,Amarillo,2020-07-04,23.0,12.0
A,Amarillo,2020-07-05,26.0,13.0
A,Amarillo,2020-07-06,31.0,14.0
A,Amarillo,2020-07-07,38.0,14.0
A,Amarillo,2020-07-08,38.0,14.0
A,Amarillo,2020-07-09,41.0,16.0
A,Amarillo,2020-07-10,46.0,18.0
A,Amarillo,2020-07-11,48.0,18.0
A,Amarillo,2020-07-12,47.0,19.0
A,Amarillo,2020-07-13,46.0,19.0
A,Amarillo,2020-07-14,47.0,20.0
A,Amarillo,2020-07-15,49.0,21.0
A,Amarillo,2020-07-16,51.0,20.0
A,Amarillo,2020-07-17,58.0,24.0
A,Amarillo,2020-07-18,63.0,24.0
A,Amarillo,2020-07-19,62.0,25.0
A,Amarillo,2020-07-20,63.0,25.0
A,Amarillo,2020-07-21,69.0,26.0
A,Amarillo,2020-07-22,75.0,31.0
A,Amarillo,2020-07-23,65.0,32.0
A,Amarillo,2020-07-24,82.0,42.0
A,Amarillo,2020-07-25,75.0,40.0
A,Amarillo,2020-07-26,44.0,22.0
A,Amarillo,2020-07-27,77.0,44.0
A,Amarillo,2020-07-28,36.0,12.0
A,Amarillo,2020-07-29,37.0,9.0
A,Amarillo,2020-07-30,70.0,28.0
A,Amarillo,2020-07-31,71.0,28.0
A,Amarillo,2020-08-01,77.0,28.0
A,Amarillo,2020-08-02,77.0,29.0
A,Amarillo,2020-08-03,78.0,29.0
A,Amarillo,2020-08-04,79.0,29.0
A,Amarillo,2020-08-05,72.0,29.0
A,Amarillo,2020-08-06,75.0,36.0
A,Amarillo,2020-08-07,75.0,36.0
A,Amarillo,2020-08-08,74.0,32.0
A,Amarillo,2020-08-09,73.0,34.0
A,Amarillo,2020-08-10,73.0,34.0
A,Amarillo,2020-08-11,76.0,35.0
A,Amarillo,2020-08-12,76.0,36.0
A,Amarillo,2020-08-13,72.0,33.0
A,Amarillo,2020-08-14,55.0,30.0
A,Amarillo,2020-08-15,58.0,26.0
A,Amarillo,2020-08-16,59.0,27.0
A,Amarillo,2020-08-17,59.0,27.0
A,Amarillo,2020-08-18,60.0,27.0
A,Amarillo,2020-08-19,55.0,24.0
A,Amarillo,2020-08-20,57.0,22.0
A,Amarillo,2020-08-21,58.0,22.0
A,Amarillo,2020-08-22,56.0,20.0
A,Amarillo,2020-08-23,61.0,21.0
A,Amarillo,2020-08-24,59.0,21.0
A,Amarillo,2020-08-25,55.0,20.0
B,Lubbock,2020-04-12,34.0,12.0
B,Lubbock,2020-04-13,35.0,12.0
B,Lubbock,2020-04-14,31.0,14.0
B,Lubbock,2020-04-15,34.0,15.0
B,Lubbock,2020-04-16,32.0,14.0
B,Lubbock,2020-04-17,38.0,17.0
B,Lubbock,2020-04-18,35.0,16.0
B,Lubbock,2020-04-19,32.0,18.0
B,Lubbock,2020-04-20,32.0,17.0
B,Lubbock,2020-04-21,46.0,19.0
B,Lubbock,2020-04-22,28.0,15.0
B,Lubbock,2020-04-23,25.0,15.0
B,Lubbock,2020-04-24,27.0,15.0
B,Lubbock,2020-04-25,32.0,18.0
B,Lubbock,2020-04-26,26.0,18.0
B,Lubbock,2020-04-27,29.0,18.0
B,Lubbock,2020-04-28,29.0,16.0
B,Lubbock,2020-04-29,31.0,19.0
B,Lubbock,2020-04-30,38.0,30.0
B,Lubbock,2020-05-01,36.0,28.0
B,Lubbock,2020-05-02,37.0,26.0
B,Lubbock,2020-05-03,29.0,24.0
B,Lubbock,2020-05-04,30.0,24.0
B,Lubbock,2020-05-05,33.0,26.0
B,Lubbock,2020-05-06,37.0,24.0
B,Lubbock,2020-05-07,32.0,20.0
B,Lubbock,2020-05-08,28.0,17.0
B,Lubbock,2020-05-09,27.0,15.0
