,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_adj_doctor_visits,stderr,sample_size,fips,aggregate_level,state
0,0,ak,2020-02-01,,2020-06-09,129,0.13399,,,02,state,AK
1,1,al,2020-02-01,,2020-06-09,129,0.048417,,,01,state,AL
2,2,ar,2020-02-01,,2020-06-09,129,0.18019200000000002,,,05,state,AR
3,3,az,2020-02-01,,2020-06-09,129,0.075132,,,04,state,AZ
4,4,ca,2020-02-01,,2020-06-09,129,0.155147,,,06,state,CA
5,5,co,2020-02-01,,2020-06-09,129,0.19638,,,08,state,CO
6,6,ct,2020-02-01,,2020-06-09,129,0.182978,,,09,state,CT
7,7,dc,2020-02-01,,2020-06-09,129,0.0,,,11,state,DC
8,8,de,2020-02-01,,2020-06-09,129,0.0,,,10,state,DE
9,9,fl,2020-02-01,,2020-06-09,129,0.146065,,,12,state,FL
10,10,ga,2020-02-01,,2020-06-09,129,0.044436,,,13,state,GA
11,11,hi,2020-02-01,,2020-06-09,129,0.0,,,15,state,HI
12,12,ia,2020-02-01,,2020-06-09,129,0.081811,,,19,state,IA
13,13,id,2020-02-01,,2020-06-09,129,0.0,,,16,state,ID
14,14,il,2020-02-01,,2020-06-09,129,0.141337,,,17,state,IL
15,15,in,2020-02-01,,2020-06-09,129,0.095476,,,18,state,IN
16,16,ks,2020-02-01,,2020-06-09,129,0.024175,,,20,state,KS
17,17,ky,2020-02-01,,2020-06-09,129,0.128993,,,21,state,KY
18,18,la,2020-02-01,,2020-06-09,129,0.263732,,,22,state,LA
19,19,ma,2020-02-01,,2020-06-09,129,0.025646,,,25,state,MA
20,20,md,2020-02-01,,2020-06-09,129,0.29517600000000005,,,24,state,MD
21,21,me,2020-02-01,,2020-06-09,129,0.0,,,23,state,ME
22,22,mi,2020-02-01,,2020-06-09,129,0.267311,,,26,state,MI
23,23,mn,2020-02-01,,2020-06-09,129,0.0,,,27,state,MN
24,24,mo,2020-02-01,,2020-06-09,129,0.196194,,,29,state,MO
25,25,ms,2020-02-01,,2020-06-09,129,0.185289,,,28,state,MS
26,26,mt,2020-02-01,,2020-06-09,129,0.0,,,30,state,MT
27,27,nc,2020-02-01,,2020-06-09,129,0.041861,,,37,state,NC
28,28,nd,2020-02-01,,2020-06-09,129,0.0,,,38,state,ND
29,29,ne,2020-02-01,,2020-06-09,129,0.06661,,,31,state,NE
30,30,nh,2020-02-01,,2020-06-09,129,0.11271300000000001,,,33,state,NH
31,31,nj,2020-02-01,,2020-06-09,129,0.363749,,,34,state,NJ
32,32,nm,2020-02-01,,2020-06-09,129,0.0,,,35,state,NM
33,33,nv,2020-02-01,,2020-06-09,129,0.055810000000000005,,,32,state,NV
34,34,ny,2020-02-01,,2020-06-09,129,0.309809,,,36,state,NY
35,35,oh,2020-02-01,,2020-06-09,129,0.12547,,,39,state,OH
36,36,ok,2020-02-01,,2020-06-09,129,0.089959,,,40,state,OK
37,37,or,2020-02-01,,2020-06-09,129,0.0,,,41,state,OR
38,38,pa,2020-02-01,,2020-06-09,129,0.240643,,,42,state,PA
39,39,ri,2020-02-01,,2020-06-09,129,0.0,,,44,state,RI
40,40,sc,2020-02-01,,2020-06-09,129,0.08682899999999999,,,45,state,SC
41,41,sd,2020-02-01,,2020-06-09,129,0.0,,,46,state,SD
42,42,tn,2020-02-01,,2020-06-09,129,0.310261,,,47,state,TN
43,43,tx,2020-02-01,,2020-06-09,129,0.17188599999999998,,,48,state,TX
44,44,ut,2020-02-01,,2020-06-09,129,0.042616,,,49,state,UT
