,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_doctor_visits,stderr,sample_size,fips,aggregate_level,state
0,0,ak,2020-02-01,,2020-06-09,129,0.083479,,,02,state,AK
1,1,al,2020-02-01,,2020-06-09,129,0.035638,,,01,state,AL
2,2,ar,2020-02-01,,2020-06-09,129,0.148431,,,05,state,AR
3,3,az,2020-02-01,,2020-06-09,129,0.129299,,,04,state,AZ
4,4,ca,2020-02-01,,2020-06-09,129,0.169873,,,06,state,CA
5,5,co,2020-02-01,,2020-06-09,129,0.154064,,,08,state,CO
6,6,ct,2020-02-01,,2020-06-09,129,0.143501,,,09,state,CT
7,7,dc,2020-02-01,,2020-06-09,129,0.0,,,11,state,DC
8,8,de,2020-02-01,,2020-06-09,129,0.0,,,10,state,DE
9,9,fl,2020-02-01,,2020-06-09,129,0.141296,,,12,state,FL
10,10,ga,2020-02-01,,2020-06-09,129,0.035325,,,13,state,GA
11,11,hi,2020-02-01,,2020-06-09,129,0.0,,,15,state,HI
12,12,ia,2020-02-01,,2020-06-09,129,0.064226,,,19,state,IA
13,13,id,2020-02-01,,2020-06-09,129,0.0,,,16,state,ID
14,14,il,2020-02-01,,2020-06-09,129,0.144563,,,17,state,IL
15,15,in,2020-02-01,,2020-06-09,129,0.07360599999999999,,,18,state,IN
16,16,ks,2020-02-01,,2020-06-09,129,0.055264,,,20,state,KS
17,17,ky,2020-02-01,,2020-06-09,129,0.09954299999999999,,,21,state,KY
18,18,la,2020-02-01,,2020-06-09,129,0.239877,,,22,state,LA
19,19,ma,2020-02-01,,2020-06-09,129,0.058033,,,25,state,MA
20,20,md,2020-02-01,,2020-06-09,129,0.231027,,,24,state,MD
21,21,me,2020-02-01,,2020-06-09,129,0.0,,,23,state,ME
22,22,mi,2020-02-01,,2020-06-09,129,0.20876799999999998,,,26,state,MI
23,23,mn,2020-02-01,,2020-06-09,129,0.0,,,27,state,MN
24,24,mo,2020-02-01,,2020-06-09,129,0.15550799999999998,,,29,state,MO
25,25,ms,2020-02-01,,2020-06-09,129,0.148231,,,28,state,MS
26,26,mt,2020-02-01,,2020-06-09,129,0.0,,,30,state,MT
27,27,nc,2020-02-01,,2020-06-09,129,0.030877999999999996,,,37,state,NC
28,28,nd,2020-02-01,,2020-06-09,129,0.0,,,38,state,ND
29,29,ne,2020-02-01,,2020-06-09,129,0.131652,,,31,state,NE
30,30,nh,2020-02-01,,2020-06-09,129,0.084217,,,33,state,NH
31,31,nj,2020-02-01,,2020-06-09,129,0.347788,,,34,state,NJ
32,32,nm,2020-02-01,,2020-06-09,129,0.0,,,35,state,NM
33,33,nv,2020-02-01,,2020-06-09,129,0.043048,,,32,state,NV
34,34,ny,2020-02-01,,2020-06-09,129,0.236053,,,36,state,NY
35,35,oh,2020-02-01,,2020-06-09,129,0.152481,,,39,state,OH
36,36,ok,2020-02-01,,2020-06-09,129,0.151745,,,40,state,OK
37,37,or,2020-02-01,,2020-06-09,129,0.0,,,41,state,OR
38,38,pa,2020-02-01,,2020-06-09,129,0.322052,,,42,state,PA
39,39,pr,2020-02-01,,2020-05-06,95,0.0,,,72,state,PR
40,40,ri,2020-02-01,,2020-06-09,129,0.0,,,44,state,RI
41,41,sc,2020-02-01,,2020-06-09,129,0.06808,,,45,state,SC
42,42,sd,2020-02-01,,2020-06-09,129,0.0,,,46,state,SD
43,43,tn,2020-02-01,,2020-06-09,129,0.235429,,,47,state,TN
44,44,tx,2020-02-01,,2020-06-09,129,0.18890099999999999,,,48,state,TX
45,45,ut,2020-02-01,,2020-06-09,129,0.031368,,,49,state,UT
46,46,va,2020-02-01,,2020-06-09,129,0.234884,,,51,state,VA
47,47,vt,2020-02-01,,2020-06-09,129,0.0,,,50,state,VT
48,48,wa,2020-02-01,,2020-06-09,129,0.055272,,,53,state,WA
49,49,wi,2020-02-01,,2020-06-09,129,0.100114,,,55,state,WI
50,50,wv,2020-02-01,,2020-06-09,129,0.0,,,54,state,WV
51,51,wy,2020-02-01,,2020-06-09,129,0.0,,,56,state,WY
52,0,ak,2020-02-02,,2020-06-09,128,0.125133,,,02,state,AK
53,1,al,2020-02-02,,2020-06-09,128,0.035638,,,01,state,AL
54,2,ar,2020-02-02,,2020-06-09,128,0.148431,,,05,state,AR
55,3,az,2020-02-02,,2020-06-09,128,0.129299,,,04,state,AZ
56,4,ca,2020-02-02,,2020-06-09,128,0.169046,,,06,state,CA
57,5,co,2020-02-02,,2020-06-09,128,0.160143,,,08,state,CO
58,6,ct,2020-02-02,,2020-06-09,128,0.143199,,,09,state,CT
59,7,dc,2020-02-02,,2020-06-09,128,0.0,,,11,state,DC
60,8,de,2020-02-02,,2020-06-09,128,0.0,,,10,state,DE
61,9,fl,2020-02-02,,2020-06-09,128,0.14077,,,12,state,FL
62,10,ga,2020-02-02,,2020-06-09,128,0.034526,,,13,state,GA
63,11,hi,2020-02-02,,2020-06-09,128,0.0,,,15,state,HI
64,12,ia,2020-02-02,,2020-06-09,128,0.064226,,,19,state,IA
65,13,id,2020-02-02,,2020-06-09,128,0.0,,,16,state,ID
66,14,il,2020-02-02,,2020-06-09,128,0.14442,,,17,state,IL
67,15,in,2020-02-02,,2020-06-09,128,0.07095,,,18,state,IN
68,16,ks,2020-02-02,,2020-06-09,128,0.055264,,,20,state,KS
69,17,ky,2020-02-02,,2020-06-09,128,0.098617,,,21,state,KY
70,18,la,2020-02-02,,2020-06-09,128,0.23761100000000002,,,22,state,LA
71,19,ma,2020-02-02,,2020-06-09,128,0.057263,,,25,state,MA
72,20,md,2020-02-02,,2020-06-09,128,0.231027,,,24,state,MD
73,21,me,2020-02-02,,2020-06-09,128,0.0,,,23,state,ME
74,22,mi,2020-02-02,,2020-06-09,128,0.20876799999999998,,,26,state,MI
75,23,mn,2020-02-02,,2020-06-09,128,0.0,,,27,state,MN
76,24,mo,2020-02-02,,2020-06-09,128,0.153288,,,29,state,MO
77,25,ms,2020-02-02,,2020-06-09,128,0.165799,,,28,state,MS
78,26,mt,2020-02-02,,2020-06-09,128,0.0,,,30,state,MT
79,27,nc,2020-02-02,,2020-06-09,128,0.030604000000000003,,,37,state,NC
80,28,nd,2020-02-02,,2020-06-09,128,0.0,,,38,state,ND
81,29,ne,2020-02-02,,2020-06-09,128,0.129209,,,31,state,NE
82,30,nh,2020-02-02,,2020-06-09,128,0.082777,,,33,state,NH
83,31,nj,2020-02-02,,2020-06-09,128,0.348869,,,34,state,NJ
84,32,nm,2020-02-02,,2020-06-09,128,0.0,,,35,state,NM
85,33,nv,2020-02-02,,2020-06-09,128,0.043048,,,32,state,NV
86,34,ny,2020-02-02,,2020-06-09,128,0.238587,,,36,state,NY
87,35,oh,2020-02-02,,2020-06-09,128,0.15224400000000002,,,39,state,OH
88,36,ok,2020-02-02,,2020-06-09,128,0.151745,,,40,state,OK
89,37,or,2020-02-02,,2020-06-09,128,0.0,,,41,state,OR
90,38,pa,2020-02-02,,2020-06-09,128,0.32800300000000004,,,42,state,PA
91,39,pr,2020-02-02,,2020-05-06,94,0.0,,,72,state,PR
92,40,ri,2020-02-02,,2020-06-09,128,0.0,,,44,state,RI
93,41,sc,2020-02-02,,2020-06-09,128,0.06808,,,45,state,SC
94,42,sd,2020-02-02,,2020-06-09,128,0.0,,,46,state,SD
95,43,tn,2020-02-02,,2020-06-09,128,0.235252,,,47,state,TN
96,44,tx,2020-02-02,,2020-06-09,128,0.188551,,,48,state,TX
97,45,ut,2020-02-02,,2020-06-09,128,0.031368,,,49,state,UT
98,46,va,2020-02-02,,2020-06-09,128,0.234884,,,51,state,VA
99,47,vt,2020-02-02,,2020-06-09,128,0.0,,,50,state,VT
100,48,wa,2020-02-02,,2020-06-09,128,0.052098,,,53,state,WA
101,49,wi,2020-02-02,,2020-06-09,128,0.100114,,,55,state,WI
102,50,wv,2020-02-02,,2020-06-09,128,0.0,,,54,state,WV
103,51,wy,2020-02-02,,2020-06-09,128,0.0,,,56,state,WY
104,0,ak,2020-02-03,0.0,2020-06-09,127,0.15368900000000002,,,02,state,AK
105,1,al,2020-02-03,0.0,2020-06-09,127,0.035638,,,01,state,AL
106,2,ar,2020-02-03,0.0,2020-06-09,127,0.148431,,,05,state,AR
107,3,az,2020-02-03,0.0,2020-06-09,127,0.129299,,,04,state,AZ
108,4,ca,2020-02-03,0.0,2020-06-09,127,0.168328,,,06,state,CA
