,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
0,0,ak,2019-01-01,,2020-06-23,539,0.025281963283116004,0.00092611791342259,523,02,state,AK
1,1,al,2019-01-01,,2020-06-23,539,0.018056758162924,0.00019246525876609,3434,01,state,AL
2,2,ar,2019-01-01,,2020-06-23,539,0.021693874104743,0.00031498865393314,2145,05,state,AR
3,3,as,2019-01-01,,2020-06-23,539,0.09271481007433198,0.0078510641192179,27,60,state,AS
4,4,az,2019-01-01,,2020-06-23,539,0.017878771311471,0.00020158457310704,4162,04,state,AZ
5,5,ca,2019-01-01,,2020-06-23,539,0.020759903854508,0.00011124681330628999,23117,06,state,CA
6,6,co,2019-01-01,,2020-06-23,539,0.019696871408952998,0.00024648777711967003,3521,08,state,CO
7,7,ct,2019-01-01,,2020-06-23,539,0.019195358989852,0.00024128713561117997,2577,09,state,CT
8,8,dc,2019-01-01,,2020-06-23,539,0.015191752525723,0.00041880489537549,449,11,state,DC
9,9,de,2019-01-01,,2020-06-23,539,0.018467448679769,0.0006962463612333599,562,10,state,DE
10,10,fl,2019-01-01,,2020-06-23,539,0.014644080409916,9.9416519556458e-05,11373,12,state,FL
11,11,ga,2019-01-01,,2020-06-23,539,0.014143177710893,0.00013256904036664,5521,13,state,GA
12,12,gu,2019-01-01,,2020-06-23,539,0.080412178656253,0.0036794954014987,164,66,state,GU
13,13,hi,2019-01-01,,2020-06-23,539,0.017555337041656002,0.00049732732384292,834,15,state,HI
14,14,ia,2019-01-01,,2020-06-23,539,0.026206440459332,0.0003598689408605,2627,19,state,IA
15,15,id,2019-01-01,,2020-06-23,539,0.019986490959885,0.00045783340224494004,959,16,state,ID
16,16,il,2019-01-01,,2020-06-23,539,0.022627962850542003,0.00015090351646368,9679,17,state,IL
17,17,in,2019-01-01,,2020-06-23,539,0.020498465667595,0.00019786269556967,4807,18,state,IN
18,18,ks,2019-01-01,,2020-06-23,539,0.022883039182643998,0.00035454666339591,2344,20,state,KS
19,19,ky,2019-01-01,,2020-06-23,539,0.021455314376301,0.0002747196463678,3277,21,state,KY
20,20,la,2019-01-01,,2020-06-23,539,0.026382656305251,0.00037226301180122,3450,22,state,LA
21,21,ma,2019-01-01,,2020-06-23,539,0.028129124498913995,0.00033158569442733,4958,25,state,MA
22,22,md,2019-01-01,,2020-06-23,539,0.021151906412006,0.00029989013869412,3902,24,state,MD
23,23,me,2019-01-01,,2020-06-23,539,0.029913791826497,0.0007657885163541,1070,23,state,ME
24,24,mi,2019-01-01,,2020-06-23,539,0.023730937301509,0.00022735154662212998,8127,26,state,MI
25,25,mn,2019-01-01,,2020-06-23,539,0.029191006710372995,0.00035522152381326,4104,27,state,MN
26,26,mo,2019-01-01,,2020-06-23,539,0.02695857126968,0.00030323133459662997,4502,29,state,MO
27,27,mp,2019-01-01,,2020-06-23,539,0.08452171324877901,0.0086901559406428,44,69,state,MP
28,28,ms,2019-01-01,,2020-06-23,539,0.027300208312598998,0.00042755576363021,2157,28,state,MS
29,29,mt,2019-01-01,,2020-06-23,539,0.031418280013516,0.00077688756443835,837,30,state,MT
30,30,nc,2019-01-01,,2020-06-23,539,0.018384450872003997,0.00018810086127872,6115,37,state,NC
31,31,nd,2019-01-01,,2020-06-23,539,0.026660212739127005,0.0008057767624622099,571,38,state,ND
32,32,ne,2019-01-01,,2020-06-23,539,0.026181639395858998,0.00049421447447934,1630,31,state,NE
33,33,nh,2019-01-01,,2020-06-23,539,0.025695230340762994,0.0006519016117615,921,33,state,NH
34,34,nj,2019-01-01,,2020-06-23,539,0.021576646221832,0.00022057920365697997,6284,34,state,NJ
35,35,nm,2019-01-01,,2020-06-23,539,0.025263850043256,0.00056465420036325,1446,35,state,NM
36,36,nv,2019-01-01,,2020-06-23,539,0.020718080525121002,0.00042857064405635,1822,32,state,NV
37,37,ny,2019-01-01,,2020-06-23,539,0.024889442920884998,0.00017233159609961,15189,36,state,NY
38,38,oh,2019-01-01,,2020-06-23,539,0.022147412132027,0.00018784285734041,9221,39,state,OH
39,39,ok,2019-01-01,,2020-06-23,539,0.022602719754291,0.00033468573143432997,2960,40,state,OK
40,40,or,2019-01-01,,2020-06-23,539,0.023747852455574,0.00042211766921918,2626,41,state,OR
41,41,pa,2019-01-01,,2020-06-23,539,0.025022953732432997,0.00022645204911143,9722,42,state,PA
42,42,pr,2019-01-01,,2020-06-23,539,0.035775529221688994,0.00060473445615907,2527,72,state,PR
43,43,ri,2019-01-01,,2020-06-23,539,0.028541156424881,0.0009914446936574,807,44,state,RI
44,44,sc,2019-01-01,,2020-06-23,539,0.021402855775649,0.00036640729652925,3041,45,state,SC
45,45,sd,2019-01-01,,2020-06-23,539,0.031459784737801005,0.0012221535055279,653,46,state,SD
46,46,tn,2019-01-01,,2020-06-23,539,0.023134837516490002,0.00032505083395931,4113,47,state,TN
47,47,tx,2019-01-01,,2020-06-23,539,0.021951671831758,0.0001637156260903,15762,48,state,TX
48,48,ut,2019-01-01,,2020-06-23,539,0.023166051116580003,0.0005717022844276599,1687,49,state,UT
49,49,va,2019-01-01,,2020-06-23,539,0.023195209031971,0.00033383384528214,5298,51,state,VA
50,50,vi,2019-01-01,,2020-06-23,539,0.036856314099721,0.0033550154481657,86,78,state,VI
