,Unnamed: 0,geo_value,date,direction,issue,lag,median_home_dwell_time,stderr,sample_size,fips,aggregate_level,state
0,0,ak,2019-01-01,,2020-06-20,536,562.2810707457,12.32230364856,523,02,state,AK
1,1,al,2019-01-01,,2020-06-20,536,718.16627839255,4.3166204882048,3434,01,state,AL
2,2,ar,2019-01-01,,2020-06-20,536,711.9449883449901,5.2925138987802,2145,05,state,AR
3,3,as,2019-01-01,,2020-06-20,536,631.11111111111,82.036582996049,27,60,state,AS
4,4,az,2019-01-01,,2020-06-20,536,703.7568476693901,4.1480554707007995,4162,04,state,AZ
5,5,ca,2019-01-01,,2020-06-20,536,729.33970670935,1.7172823135046003,23117,06,state,CA
6,6,co,2019-01-01,,2020-06-20,536,673.89690428855,4.6462298736809,3521,08,state,CO
7,7,ct,2019-01-01,,2020-06-20,536,742.76173845557,5.216112320694201,2577,09,state,CT
8,8,dc,2019-01-01,,2020-06-20,536,511.39198218263,11.156142623267,449,11,state,DC
9,9,de,2019-01-01,,2020-06-20,536,710.1334519572999,11.185416380119,562,10,state,DE
10,10,fl,2019-01-01,,2020-06-20,536,668.98109557724,2.2155594977493,11373,12,state,FL
11,11,ga,2019-01-01,,2020-06-20,536,690.60967216084,3.4433201059644003,5521,13,state,GA
12,12,gu,2019-01-01,,2020-06-20,536,640.70731707317,24.218545171864,164,66,state,GU
13,13,hi,2019-01-01,,2020-06-20,536,676.77458033573,8.932430991464999,834,15,state,HI
14,14,ia,2019-01-01,,2020-06-20,536,733.15683288923,5.1320924097724,2627,19,state,IA
15,15,id,2019-01-01,,2020-06-20,536,681.63086548488,8.5622336750037,959,16,state,ID
16,16,il,2019-01-01,,2020-06-20,536,712.9080483521001,2.6294988512002004,9679,17,state,IL
17,17,in,2019-01-01,,2020-06-20,536,705.75327647181,3.8176651048172,4807,18,state,IN
18,18,ks,2019-01-01,,2020-06-20,536,741.02218430034,5.365023645529201,2344,20,state,KS
19,19,ky,2019-01-01,,2020-06-20,536,720.48397924931,4.4879329635386,3277,21,state,KY
20,20,la,2019-01-01,,2020-06-20,536,636.95275362319,4.1329270593857,3450,22,state,LA
21,21,ma,2019-01-01,,2020-06-20,536,666.5943929003599,3.9181862189585,4958,25,state,MA
22,22,md,2019-01-01,,2020-06-20,536,724.43977447463,4.1486964140434,3902,24,state,MD
23,23,me,2019-01-01,,2020-06-20,536,612.8971962616799,7.620678266077699,1070,23,state,ME
24,24,mi,2019-01-01,,2020-06-20,536,677.6096960748099,2.9007533199579,8127,26,state,MI
25,25,mn,2019-01-01,,2020-06-20,536,670.3084795321599,4.1426558632242,4104,27,state,MN
26,26,mo,2019-01-01,,2020-06-20,536,735.02576632608,3.8592424994753,4502,29,state,MO
27,27,mp,2019-01-01,,2020-06-20,536,534.13636363636,42.878788190061,44,69,state,MP
28,28,ms,2019-01-01,,2020-06-20,536,652.2688919796,5.3471226895575,2157,28,state,MS
29,29,mt,2019-01-01,,2020-06-20,536,628.83154121864,9.9103034860681,837,30,state,MT
30,30,nc,2019-01-01,,2020-06-20,536,662.06573998365,3.3009139855651,6115,37,state,NC
31,31,nd,2019-01-01,,2020-06-20,536,619.0858143607701,11.404119019387,571,38,state,ND
32,32,ne,2019-01-01,,2020-06-20,536,714.06134969325,6.4679227820235,1630,31,state,NE
33,33,nh,2019-01-01,,2020-06-20,536,702.43648208469,8.962278640745302,921,33,state,NH
34,34,nj,2019-01-01,,2020-06-20,536,792.96228516868,3.2599714066776,6284,34,state,NJ
35,35,nm,2019-01-01,,2020-06-20,536,632.64177040111,7.0935190780713,1446,35,state,NM
