,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2019-01-01,,2020-06-23,539,0.43709639101025,0.00417338812168,523
1,al,2019-01-01,,2020-06-23,539,0.38578118280558,0.0014615990653936,3434
2,ar,2019-01-01,,2020-06-23,539,0.38369326497747,0.0019628864899839,2145
3,as,2019-01-01,,2020-06-23,539,0.51449493289056,0.033967152935511,27
4,az,2019-01-01,,2020-06-23,539,0.43912021682415,0.0015050003086599,4162
5,ca,2019-01-01,,2020-06-23,539,0.41042103022884,0.00067082588394484,23117
6,co,2019-01-01,,2020-06-23,539,0.44333512769934,0.0016492366768042,3521
7,ct,2019-01-01,,2020-06-23,539,0.41402694534008,0.001957628818793,2577
8,dc,2019-01-01,,2020-06-23,539,0.35195965889496,0.0038526918453413,449
9,de,2019-01-01,,2020-06-23,539,0.42627575868545,0.0040568984100921,562
10,fl,2019-01-01,,2020-06-23,539,0.38626891282154,0.00086124584965745,11373
11,ga,2019-01-01,,2020-06-23,539,0.39613320459849,0.0011646409411089,5521
12,gu,2019-01-01,,2020-06-23,539,0.51177900181455,0.011986042736107,164
13,hi,2019-01-01,,2020-06-23,539,0.35942090904508,0.003320450512485,834
14,ia,2019-01-01,,2020-06-23,539,0.42524579737973,0.0016878044446533,2627
15,id,2019-01-01,,2020-06-23,539,0.43351956110204,0.0029216825211579,959
16,il,2019-01-01,,2020-06-23,539,0.40647290828162,0.0009607825960947,9679
17,in,2019-01-01,,2020-06-23,539,0.40927763906538,0.001339064278398,4807
18,ks,2019-01-01,,2020-06-23,539,0.42862644093901,0.0018932863877171,2344
19,ky,2019-01-01,,2020-06-23,539,0.43135310153192,0.0016967509821612,3277
20,la,2019-01-01,,2020-06-23,539,0.38740070458572,0.001596187027227,3450
21,ma,2019-01-01,,2020-06-23,539,0.42935711024774,0.0015184798155981,4958
22,md,2019-01-01,,2020-06-23,539,0.43308088078326,0.0014364447692644,3902
23,me,2019-01-01,,2020-06-23,539,0.46928353035182,0.0030825630869188,1070
24,mi,2019-01-01,,2020-06-23,539,0.45004464406878,0.0010430569637157,8127
25,mn,2019-01-01,,2020-06-23,539,0.43977261662373,0.0014384921566303,4104
26,mo,2019-01-01,,2020-06-23,539,0.4210619093309,0.001363092988565,4502
27,mp,2019-01-01,,2020-06-23,539,0.43993339855605,0.023910751715004,44
28,ms,2019-01-01,,2020-06-23,539,0.37420854644757,0.0019436614536956,2157
29,mt,2019-01-01,,2020-06-23,539,0.44727069442712,0.0034899109998248,837
30,nc,2019-01-01,,2020-06-23,539,0.40757053942496,0.0010849806096089,6115
31,nd,2019-01-01,,2020-06-23,539,0.42076142777487,0.0039091384035051,571
32,ne,2019-01-01,,2020-06-23,539,0.44403265486651,0.0021387039766849,1630
33,nh,2019-01-01,,2020-06-23,539,0.45525874538229,0.0030372806842568,921
34,nj,2019-01-01,,2020-06-23,539,0.41992730141371,0.0012266324563261,6284
35,nm,2019-01-01,,2020-06-23,539,0.50185172947618,0.0025042539585888,1446
36,nv,2019-01-01,,2020-06-23,539,0.44760874973823,0.0020351024030402,1822
37,ny,2019-01-01,,2020-06-23,539,0.44571942414756,0.00087251879244582,15189
38,oh,2019-01-01,,2020-06-23,539,0.43326247068492,0.00097524264549153,9221
39,ok,2019-01-01,,2020-06-23,539,0.41819328173461,0.0015301643885371,2960
40,or,2019-01-01,,2020-06-23,539,0.44168567540583,0.0017766628403031,2626
41,pa,2019-01-01,,2020-06-23,539,0.44752820215371,0.0010096971189636,9722
42,pr,2019-01-01,,2020-06-23,539,0.466176363485,0.0023007145517823,2527
43,ri,2019-01-01,,2020-06-23,539,0.44012436483248,0.0037907829923315,807
44,sc,2019-01-01,,2020-06-23,539,0.39688592904554,0.0016114818114701,3041
45,sd,2019-01-01,,2020-06-23,539,0.42842259496838,0.0037861599840935,653
46,tn,2019-01-01,,2020-06-23,539,0.40602682654286,0.0013575480866344,4113
47,tx,2019-01-01,,2020-06-23,539,0.42395922273238,0.00067649038893065,15762
48,ut,2019-01-01,,2020-06-23,539,0.42422183510692,0.0023239632388345,1687
49,va,2019-01-01,,2020-06-23,539,0.41625971528907,0.0012713631056523,5298
50,vi,2019-01-01,,2020-06-23,539,0.4376088278559,0.012182192833855,86
51,vt,2019-01-01,,2020-06-23,539,0.48299934983954,0.0046417679201673,522
52,wa,2019-01-01,,2020-06-23,539,0.43283366965504,0.001370964413684,4761
53,wi,2019-01-01,,2020-06-23,539,0.4480547131296,0.0013747373245317,4472
54,wv,2019-01-01,,2020-06-23,539,0.44383053770092,0.0024856742029479,1591
