,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2020-02-01,,2020-06-09,129,0.13399,,
1,al,2020-02-01,,2020-06-09,129,0.048417,,
2,ar,2020-02-01,,2020-06-09,129,0.180192,,
3,az,2020-02-01,,2020-06-09,129,0.075132,,
4,ca,2020-02-01,,2020-06-09,129,0.155147,,
5,co,2020-02-01,,2020-06-09,129,0.19638,,
6,ct,2020-02-01,,2020-06-09,129,0.182978,,
7,dc,2020-02-01,,2020-06-09,129,0.0,,
8,de,2020-02-01,,2020-06-09,129,0.0,,
9,fl,2020-02-01,,2020-06-09,129,0.146065,,
10,ga,2020-02-01,,2020-06-09,129,0.044436,,
11,hi,2020-02-01,,2020-06-09,129,0.0,,
12,ia,2020-02-01,,2020-06-09,129,0.081811,,
13,id,2020-02-01,,2020-06-09,129,0.0,,
14,il,2020-02-01,,2020-06-09,129,0.141337,,
15,in,2020-02-01,,2020-06-09,129,0.095476,,
16,ks,2020-02-01,,2020-06-09,129,0.024175,,
17,ky,2020-02-01,,2020-06-09,129,0.128993,,
18,la,2020-02-01,,2020-06-09,129,0.263732,,
19,ma,2020-02-01,,2020-06-09,129,0.025646,,
20,md,2020-02-01,,2020-06-09,129,0.295176,,
21,me,2020-02-01,,2020-06-09,129,0.0,,
22,mi,2020-02-01,,2020-06-09,129,0.267311,,
23,mn,2020-02-01,,2020-06-09,129,0.0,,
24,mo,2020-02-01,,2020-06-09,129,0.196194,,
25,ms,2020-02-01,,2020-06-09,129,0.185289,,
26,mt,2020-02-01,,2020-06-09,129,0.0,,
27,nc,2020-02-01,,2020-06-09,129,0.041861,,
28,nd,2020-02-01,,2020-06-09,129,0.0,,
29,ne,2020-02-01,,2020-06-09,129,0.06661,,
30,nh,2020-02-01,,2020-06-09,129,0.112713,,
31,nj,2020-02-01,,2020-06-09,129,0.363749,,
32,nm,2020-02-01,,2020-06-09,129,0.0,,
33,nv,2020-02-01,,2020-06-09,129,0.05581,,
34,ny,2020-02-01,,2020-06-09,129,0.309809,,
35,oh,2020-02-01,,2020-06-09,129,0.12547,,
36,ok,2020-02-01,,2020-06-09,129,0.089959,,
37,or,2020-02-01,,2020-06-09,129,0.0,,
38,pa,2020-02-01,,2020-06-09,129,0.240643,,
39,ri,2020-02-01,,2020-06-09,129,0.0,,
40,sc,2020-02-01,,2020-06-09,129,0.086829,,
41,sd,2020-02-01,,2020-06-09,129,0.0,,
42,tn,2020-02-01,,2020-06-09,129,0.310261,,
43,tx,2020-02-01,,2020-06-09,129,0.171886,,
44,ut,2020-02-01,,2020-06-09,129,0.042616,,
45,va,2020-02-01,,2020-06-09,129,0.247173,,
46,vt,2020-02-01,,2020-06-09,129,0.0,,
47,wa,2020-02-01,,2020-06-09,129,0.070495,,
48,wi,2020-02-01,,2020-06-09,129,0.100755,,
49,wv,2020-02-01,,2020-06-09,129,0.0,,
50,wy,2020-02-01,,2020-06-09,129,0.0,,
0,ak,2020-02-02,,2020-06-09,128,0.189365,,
1,al,2020-02-02,,2020-06-09,128,0.048417,,
2,ar,2020-02-02,,2020-06-09,128,0.180192,,
3,az,2020-02-02,,2020-06-09,128,0.075132,,
4,ca,2020-02-02,,2020-06-09,128,0.154536,,
5,co,2020-02-02,,2020-06-09,128,0.19974,,
6,ct,2020-02-02,,2020-06-09,128,0.182588,,
7,dc,2020-02-02,,2020-06-09,128,0.0,,
8,de,2020-02-02,,2020-06-09,128,0.0,,
9,fl,2020-02-02,,2020-06-09,128,0.145379,,
10,ga,2020-02-02,,2020-06-09,128,0.043982,,
11,hi,2020-02-02,,2020-06-09,128,0.0,,
