,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2020-02-01,,2020-06-09,129,0.083479,,
1,al,2020-02-01,,2020-06-09,129,0.035638,,
2,ar,2020-02-01,,2020-06-09,129,0.148431,,
3,az,2020-02-01,,2020-06-09,129,0.129299,,
4,ca,2020-02-01,,2020-06-09,129,0.169873,,
5,co,2020-02-01,,2020-06-09,129,0.154064,,
6,ct,2020-02-01,,2020-06-09,129,0.143501,,
7,dc,2020-02-01,,2020-06-09,129,0.0,,
8,de,2020-02-01,,2020-06-09,129,0.0,,
9,fl,2020-02-01,,2020-06-09,129,0.141296,,
10,ga,2020-02-01,,2020-06-09,129,0.035325,,
11,hi,2020-02-01,,2020-06-09,129,0.0,,
12,ia,2020-02-01,,2020-06-09,129,0.064226,,
13,id,2020-02-01,,2020-06-09,129,0.0,,
14,il,2020-02-01,,2020-06-09,129,0.144563,,
15,in,2020-02-01,,2020-06-09,129,0.073606,,
16,ks,2020-02-01,,2020-06-09,129,0.055264,,
17,ky,2020-02-01,,2020-06-09,129,0.099543,,
18,la,2020-02-01,,2020-06-09,129,0.239877,,
19,ma,2020-02-01,,2020-06-09,129,0.058033,,
20,md,2020-02-01,,2020-06-09,129,0.231027,,
21,me,2020-02-01,,2020-06-09,129,0.0,,
22,mi,2020-02-01,,2020-06-09,129,0.208768,,
23,mn,2020-02-01,,2020-06-09,129,0.0,,
24,mo,2020-02-01,,2020-06-09,129,0.155508,,
25,ms,2020-02-01,,2020-06-09,129,0.148231,,
26,mt,2020-02-01,,2020-06-09,129,0.0,,
27,nc,2020-02-01,,2020-06-09,129,0.030878,,
28,nd,2020-02-01,,2020-06-09,129,0.0,,
29,ne,2020-02-01,,2020-06-09,129,0.131652,,
30,nh,2020-02-01,,2020-06-09,129,0.084217,,
31,nj,2020-02-01,,2020-06-09,129,0.347788,,
32,nm,2020-02-01,,2020-06-09,129,0.0,,
33,nv,2020-02-01,,2020-06-09,129,0.043048,,
34,ny,2020-02-01,,2020-06-09,129,0.236053,,
35,oh,2020-02-01,,2020-06-09,129,0.152481,,
36,ok,2020-02-01,,2020-06-09,129,0.151745,,
37,or,2020-02-01,,2020-06-09,129,0.0,,
38,pa,2020-02-01,,2020-06-09,129,0.322052,,
39,pr,2020-02-01,,2020-05-06,95,0.0,,
40,ri,2020-02-01,,2020-06-09,129,0.0,,
41,sc,2020-02-01,,2020-06-09,129,0.06808,,
42,sd,2020-02-01,,2020-06-09,129,0.0,,
43,tn,2020-02-01,,2020-06-09,129,0.235429,,
44,tx,2020-02-01,,2020-06-09,129,0.188901,,
45,ut,2020-02-01,,2020-06-09,129,0.031368,,
46,va,2020-02-01,,2020-06-09,129,0.234884,,
47,vt,2020-02-01,,2020-06-09,129,0.0,,
48,wa,2020-02-01,,2020-06-09,129,0.055272,,
49,wi,2020-02-01,,2020-06-09,129,0.100114,,
50,wv,2020-02-01,,2020-06-09,129,0.0,,
51,wy,2020-02-01,,2020-06-09,129,0.0,,
0,ak,2020-02-02,,2020-06-09,128,0.125133,,
1,al,2020-02-02,,2020-06-09,128,0.035638,,
2,ar,2020-02-02,,2020-06-09,128,0.148431,,
3,az,2020-02-02,,2020-06-09,128,0.129299,,
4,ca,2020-02-02,,2020-06-09,128,0.169046,,
5,co,2020-02-02,,2020-06-09,128,0.160143,,
6,ct,2020-02-02,,2020-06-09,128,0.143199,,
7,dc,2020-02-02,,2020-06-09,128,0.0,,
8,de,2020-02-02,,2020-06-09,128,0.0,,
9,fl,2020-02-02,,2020-06-09,128,0.14077,,
10,ga,2020-02-02,,2020-06-09,128,0.034526,,
11,hi,2020-02-02,,2020-06-09,128,0.0,,
12,ia,2020-02-02,,2020-06-09,128,0.064226,,
13,id,2020-02-02,,2020-06-09,128,0.0,,
14,il,2020-02-02,,2020-06-09,128,0.14442,,
15,in,2020-02-02,,2020-06-09,128,0.07095,,
16,ks,2020-02-02,,2020-06-09,128,0.055264,,
17,ky,2020-02-02,,2020-06-09,128,0.098617,,
18,la,2020-02-02,,2020-06-09,128,0.237611,,
19,ma,2020-02-02,,2020-06-09,128,0.057263,,
20,md,2020-02-02,,2020-06-09,128,0.231027,,
21,me,2020-02-02,,2020-06-09,128,0.0,,
22,mi,2020-02-02,,2020-06-09,128,0.208768,,
23,mn,2020-02-02,,2020-06-09,128,0.0,,
24,mo,2020-02-02,,2020-06-09,128,0.153288,,
25,ms,2020-02-02,,2020-06-09,128,0.165799,,
26,mt,2020-02-02,,2020-06-09,128,0.0,,
27,nc,2020-02-02,,2020-06-09,128,0.030604,,
28,nd,2020-02-02,,2020-06-09,128,0.0,,
29,ne,2020-02-02,,2020-06-09,128,0.129209,,
30,nh,2020-02-02,,2020-06-09,128,0.082777,,
31,nj,2020-02-02,,2020-06-09,128,0.348869,,
32,nm,2020-02-02,,2020-06-09,128,0.0,,
33,nv,2020-02-02,,2020-06-09,128,0.043048,,
34,ny,2020-02-02,,2020-06-09,128,0.238587,,
35,oh,2020-02-02,,2020-06-09,128,0.152244,,
36,ok,2020-02-02,,2020-06-09,128,0.151745,,
37,or,2020-02-02,,2020-06-09,128,0.0,,
38,pa,2020-02-02,,2020-06-09,128,0.328003,,
39,pr,2020-02-02,,2020-05-06,94,0.0,,
40,ri,2020-02-02,,2020-06-09,128,0.0,,
41,sc,2020-02-02,,2020-06-09,128,0.06808,,
42,sd,2020-02-02,,2020-06-09,128,0.0,,
43,tn,2020-02-02,,2020-06-09,128,0.235252,,
44,tx,2020-02-02,,2020-06-09,128,0.188551,,
45,ut,2020-02-02,,2020-06-09,128,0.031368,,
46,va,2020-02-02,,2020-06-09,128,0.234884,,
47,vt,2020-02-02,,2020-06-09,128,0.0,,
48,wa,2020-02-02,,2020-06-09,128,0.052098,,
49,wi,2020-02-02,,2020-06-09,128,0.100114,,
50,wv,2020-02-02,,2020-06-09,128,0.0,,
51,wy,2020-02-02,,2020-06-09,128,0.0,,
0,ak,2020-02-03,0,2020-06-09,127,0.153689,,
1,al,2020-02-03,0,2020-06-09,127,0.035638,,
2,ar,2020-02-03,0,2020-06-09,127,0.148431,,
3,az,2020-02-03,0,2020-06-09,127,0.129299,,
4,ca,2020-02-03,0,2020-06-09,127,0.168328,,
5,co,2020-02-03,0,2020-06-09,127,0.157627,,
6,ct,2020-02-03,0,2020-06-09,127,0.142885,,
7,dc,2020-02-03,0,2020-06-09,127,0.0,,
8,de,2020-02-03,0,2020-06-09,127,0.0,,
9,fl,2020-02-03,0,2020-06-09,127,0.140295,,
10,ga,2020-02-03,0,2020-06-09,127,0.033886,,
11,hi,2020-02-03,0,2020-06-09,127,0.0,,
12,ia,2020-02-03,0,2020-06-09,127,0.064226,,
13,id,2020-02-03,0,2020-06-09,127,0.0,,
14,il,2020-02-03,0,2020-06-09,127,0.144283,,
15,in,2020-02-03,0,2020-06-09,127,0.068626,,
16,ks,2020-02-03,0,2020-06-09,127,0.055264,,
17,ky,2020-02-03,0,2020-06-09,127,0.097839,,
18,la,2020-02-03,0,2020-06-09,127,0.2357,,
19,ma,2020-02-03,0,2020-06-09,127,0.05661,,
20,md,2020-02-03,0,2020-06-09,127,0.231027,,
