,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2019-01-01,,2020-06-23,539,0.025281963283116,0.00092611791342259,523
1,al,2019-01-01,,2020-06-23,539,0.018056758162924,0.00019246525876609,3434
2,ar,2019-01-01,,2020-06-23,539,0.021693874104743,0.00031498865393314,2145
3,as,2019-01-01,,2020-06-23,539,0.092714810074332,0.0078510641192179,27
4,az,2019-01-01,,2020-06-23,539,0.017878771311471,0.00020158457310704,4162
5,ca,2019-01-01,,2020-06-23,539,0.020759903854508,0.00011124681330629,23117
6,co,2019-01-01,,2020-06-23,539,0.019696871408953,0.00024648777711967,3521
7,ct,2019-01-01,,2020-06-23,539,0.019195358989852,0.00024128713561118,2577
8,dc,2019-01-01,,2020-06-23,539,0.015191752525723,0.00041880489537549,449
9,de,2019-01-01,,2020-06-23,539,0.018467448679769,0.00069624636123336,562
10,fl,2019-01-01,,2020-06-23,539,0.014644080409916,9.9416519556458e-05,11373
11,ga,2019-01-01,,2020-06-23,539,0.014143177710893,0.00013256904036664,5521
12,gu,2019-01-01,,2020-06-23,539,0.080412178656253,0.0036794954014987,164
13,hi,2019-01-01,,2020-06-23,539,0.017555337041656,0.00049732732384292,834
14,ia,2019-01-01,,2020-06-23,539,0.026206440459332,0.0003598689408605,2627
15,id,2019-01-01,,2020-06-23,539,0.019986490959885,0.00045783340224494,959
16,il,2019-01-01,,2020-06-23,539,0.022627962850542,0.00015090351646368,9679
17,in,2019-01-01,,2020-06-23,539,0.020498465667595,0.00019786269556967,4807
18,ks,2019-01-01,,2020-06-23,539,0.022883039182644,0.00035454666339591,2344
19,ky,2019-01-01,,2020-06-23,539,0.021455314376301,0.0002747196463678,3277
20,la,2019-01-01,,2020-06-23,539,0.026382656305251,0.00037226301180122,3450
21,ma,2019-01-01,,2020-06-23,539,0.028129124498914,0.00033158569442733,4958
22,md,2019-01-01,,2020-06-23,539,0.021151906412006,0.00029989013869412,3902
23,me,2019-01-01,,2020-06-23,539,0.029913791826497,0.0007657885163541,1070
24,mi,2019-01-01,,2020-06-23,539,0.023730937301509,0.00022735154662213,8127
25,mn,2019-01-01,,2020-06-23,539,0.029191006710373,0.00035522152381326,4104
26,mo,2019-01-01,,2020-06-23,539,0.02695857126968,0.00030323133459663,4502
27,mp,2019-01-01,,2020-06-23,539,0.084521713248779,0.0086901559406428,44
28,ms,2019-01-01,,2020-06-23,539,0.027300208312599,0.00042755576363021,2157
29,mt,2019-01-01,,2020-06-23,539,0.031418280013516,0.00077688756443835,837
30,nc,2019-01-01,,2020-06-23,539,0.018384450872004,0.00018810086127872,6115
31,nd,2019-01-01,,2020-06-23,539,0.026660212739127,0.00080577676246221,571
32,ne,2019-01-01,,2020-06-23,539,0.026181639395859,0.00049421447447934,1630
33,nh,2019-01-01,,2020-06-23,539,0.025695230340763,0.0006519016117615,921
34,nj,2019-01-01,,2020-06-23,539,0.021576646221832,0.00022057920365698,6284
35,nm,2019-01-01,,2020-06-23,539,0.025263850043256,0.00056465420036325,1446
36,nv,2019-01-01,,2020-06-23,539,0.020718080525121,0.00042857064405635,1822
37,ny,2019-01-01,,2020-06-23,539,0.024889442920885,0.00017233159609961,15189
38,oh,2019-01-01,,2020-06-23,539,0.022147412132027,0.00018784285734041,9221
39,ok,2019-01-01,,2020-06-23,539,0.022602719754291,0.00033468573143433,2960
40,or,2019-01-01,,2020-06-23,539,0.023747852455574,0.00042211766921918,2626
41,pa,2019-01-01,,2020-06-23,539,0.025022953732433,0.00022645204911143,9722
42,pr,2019-01-01,,2020-06-23,539,0.035775529221689,0.00060473445615907,2527
43,ri,2019-01-01,,2020-06-23,539,0.028541156424881,0.0009914446936574,807
44,sc,2019-01-01,,2020-06-23,539,0.021402855775649,0.00036640729652925,3041
45,sd,2019-01-01,,2020-06-23,539,0.031459784737801,0.0012221535055279,653
46,tn,2019-01-01,,2020-06-23,539,0.02313483751649,0.00032505083395931,4113
47,tx,2019-01-01,,2020-06-23,539,0.021951671831758,0.0001637156260903,15762
48,ut,2019-01-01,,2020-06-23,539,0.02316605111658,0.00057170228442766,1687
49,va,2019-01-01,,2020-06-23,539,0.023195209031971,0.00033383384528214,5298
50,vi,2019-01-01,,2020-06-23,539,0.036856314099721,0.0033550154481657,86
51,vt,2019-01-01,,2020-06-23,539,0.034153999905924,0.0014179197237815,522
52,wa,2019-01-01,,2020-06-23,539,0.024064108734255,0.00037086294854843,4761
53,wi,2019-01-01,,2020-06-23,539,0.025619443174046,0.00035061572893235,4472
54,wv,2019-01-01,,2020-06-23,539,0.028086011969692,0.00066363190385052,1591
55,wy,2019-01-01,,2020-06-23,539,0.023642081106048,0.00097653520757992,410
0,ak,2019-01-02,,2020-06-23,538,0.043653838138213,0.0018504776766655,527
1,al,2019-01-02,,2020-06-23,538,0.045533980592171,0.00049024624066628,3433
2,ar,2019-01-02,,2020-06-23,538,0.052496473420046,0.0007317357794207,2145
3,as,2019-01-02,,2020-06-23,538,0.089335480922079,0.0072639832646324,33
4,az,2019-01-02,,2020-06-23,538,0.043389661965579,0.00048921263808116,4165
5,ca,2019-01-02,,2020-06-23,538,0.050455372091469,0.00024002992790183,23123
6,co,2019-01-02,,2020-06-23,538,0.05747087849315,0.00062415679588303,3521
7,ct,2019-01-02,,2020-06-23,538,0.09317269897228,0.0011364379904583,2578
8,dc,2019-01-02,,2020-06-23,538,0.064828660923325,0.0015936864203856,449
9,de,2019-01-02,,2020-06-23,538,0.072358688981209,0.0018059045555019,562
10,fl,2019-01-02,,2020-06-23,538,0.047867093451858,0.00025837764174831,11370
11,ga,2019-01-02,,2020-06-23,538,0.044723884110808,0.00035033033589693,5521
12,gu,2019-01-02,,2020-06-23,538,0.079465158770011,0.0034394073609134,163
13,hi,2019-01-02,,2020-06-23,538,0.026295366022435,0.00073766791722769,834
14,ia,2019-01-02,,2020-06-23,538,0.070752727775981,0.00084092293838393,2627
15,id,2019-01-02,,2020-06-23,538,0.047757030625251,0.0010186360961735,960
16,il,2019-01-02,,2020-06-23,538,0.058978291023515,0.00037254278668989,9678
17,in,2019-01-02,,2020-06-23,538,0.052258204737651,0.00047050925231565,4808
18,ks,2019-01-02,,2020-06-23,538,0.060823667462591,0.00074813738634319,2346
19,ky,2019-01-02,,2020-06-23,538,0.058480316002046,0.00064713014117133,3278
20,la,2019-01-02,,2020-06-23,538,0.05402531807469,0.00054025717386757,3450
21,ma,2019-01-02,,2020-06-23,538,0.076714936716044,0.00074073433761599,4962
22,md,2019-01-02,,2020-06-23,538,0.073450849897395,0.00068752013025575,3902
23,me,2019-01-02,,2020-06-23,538,0.070335434140178,0.0013681925316954,1071
24,mi,2019-01-02,,2020-06-23,538,0.046072975084045,0.00034699816992665,8130
25,mn,2019-01-02,,2020-06-23,538,0.078764498190595,0.00076352531399667,4104
26,mo,2019-01-02,,2020-06-23,538,0.055494943950419,0.00049992140609913,4503
27,mp,2019-01-02,,2020-06-23,538,0.082311429476087,0.0072512462164912,44
28,ms,2019-01-02,,2020-06-23,538,0.046435583719392,0.00060071818347392,2157
29,mt,2019-01-02,,2020-06-23,538,0.052194312735634,0.0012802343263224,837
30,nc,2019-01-02,,2020-06-23,538,0.052291042087693,0.00040957686688596,6114
31,nd,2019-01-02,,2020-06-23,538,0.067663645967899,0.0019289444922744,571
32,ne,2019-01-02,,2020-06-23,538,0.05354954094249,0.00081414433156337,1631
33,nh,2019-01-02,,2020-06-23,538,0.079248678933967,0.0015196588187035,921
34,nj,2019-01-02,,2020-06-23,538,0.084206735854279,0.00063023415015068,6286
35,nm,2019-01-02,,2020-06-23,538,0.029810421291617,0.0005574793296641,1446
36,nv,2019-01-02,,2020-06-23,538,0.031082857971711,0.00048649978958004,1822
37,ny,2019-01-02,,2020-06-23,538,0.068928042573573,0.00036981455703212,15196
38,oh,2019-01-02,,2020-06-23,538,0.051606426959753,0.00036008263572319,9223
