,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2019-01-01,,2020-06-20,536,562.2810707457,12.32230364856,523
1,al,2019-01-01,,2020-06-20,536,718.16627839255,4.3166204882048,3434
2,ar,2019-01-01,,2020-06-20,536,711.94498834499,5.2925138987802,2145
3,as,2019-01-01,,2020-06-20,536,631.11111111111,82.036582996049,27
4,az,2019-01-01,,2020-06-20,536,703.75684766939,4.1480554707008,4162
5,ca,2019-01-01,,2020-06-20,536,729.33970670935,1.7172823135046,23117
6,co,2019-01-01,,2020-06-20,536,673.89690428855,4.6462298736809,3521
7,ct,2019-01-01,,2020-06-20,536,742.76173845557,5.2161123206942,2577
8,dc,2019-01-01,,2020-06-20,536,511.39198218263,11.156142623267,449
9,de,2019-01-01,,2020-06-20,536,710.1334519573,11.185416380119,562
10,fl,2019-01-01,,2020-06-20,536,668.98109557724,2.2155594977493,11373
11,ga,2019-01-01,,2020-06-20,536,690.60967216084,3.4433201059644,5521
12,gu,2019-01-01,,2020-06-20,536,640.70731707317,24.218545171864,164
13,hi,2019-01-01,,2020-06-20,536,676.77458033573,8.932430991465,834
14,ia,2019-01-01,,2020-06-20,536,733.15683288923,5.1320924097724,2627
15,id,2019-01-01,,2020-06-20,536,681.63086548488,8.5622336750037,959
16,il,2019-01-01,,2020-06-20,536,712.9080483521,2.6294988512002,9679
17,in,2019-01-01,,2020-06-20,536,705.75327647181,3.8176651048172,4807
18,ks,2019-01-01,,2020-06-20,536,741.02218430034,5.3650236455292,2344
19,ky,2019-01-01,,2020-06-20,536,720.48397924931,4.4879329635386,3277
20,la,2019-01-01,,2020-06-20,536,636.95275362319,4.1329270593857,3450
21,ma,2019-01-01,,2020-06-20,536,666.59439290036,3.9181862189585,4958
22,md,2019-01-01,,2020-06-20,536,724.43977447463,4.1486964140434,3902
23,me,2019-01-01,,2020-06-20,536,612.89719626168,7.6206782660777,1070
24,mi,2019-01-01,,2020-06-20,536,677.60969607481,2.9007533199579,8127
25,mn,2019-01-01,,2020-06-20,536,670.30847953216,4.1426558632242,4104
26,mo,2019-01-01,,2020-06-20,536,735.02576632608,3.8592424994753,4502
27,mp,2019-01-01,,2020-06-20,536,534.13636363636,42.878788190061,44
28,ms,2019-01-01,,2020-06-20,536,652.2688919796,5.3471226895575,2157
29,mt,2019-01-01,,2020-06-20,536,628.83154121864,9.9103034860681,837
30,nc,2019-01-01,,2020-06-20,536,662.06573998365,3.3009139855651,6115
31,nd,2019-01-01,,2020-06-20,536,619.08581436077,11.404119019387,571
32,ne,2019-01-01,,2020-06-20,536,714.06134969325,6.4679227820235,1630
33,nh,2019-01-01,,2020-06-20,536,702.43648208469,8.9622786407453,921
34,nj,2019-01-01,,2020-06-20,536,792.96228516868,3.2599714066776,6284
35,nm,2019-01-01,,2020-06-20,536,632.64177040111,7.0935190780713,1446
36,nv,2019-01-01,,2020-06-20,536,709.46981339188,5.581168891144,1822
37,ny,2019-01-01,,2020-06-20,536,715.82414905524,2.2178245959496,15189
38,oh,2019-01-01,,2020-06-20,536,717.13556013448,2.7597790233996,9221
39,ok,2019-01-01,,2020-06-20,536,720.03851351351,4.4405372504223,2960
40,or,2019-01-01,,2020-06-20,536,708.91355674029,5.2872258689998,2626
41,pa,2019-01-01,,2020-06-20,536,717.06685867106,2.7443462494231,9722
42,pr,2019-01-01,,2020-06-20,536,472.29996042738,4.7477842858799,2527
43,ri,2019-01-01,,2020-06-20,536,686.49814126394,9.5826264532519,807
44,sc,2019-01-01,,2020-06-20,536,667.98849062808,4.5864943355586,3041
45,sd,2019-01-01,,2020-06-20,536,626.24655436447,10.951054266631,653
46,tn,2019-01-01,,2020-06-20,536,699.77340141016,4.0134439559455,4113
47,tx,2019-01-01,,2020-06-20,536,671.64198705748,1.9240677696017,15762
48,ut,2019-01-01,,2020-06-20,536,776.37048014226,7.2061856496758,1687
49,va,2019-01-01,,2020-06-20,536,687.91204228011,3.7104613530402,5298
50,vi,2019-01-01,,2020-06-20,536,457.32558139535,28.913132039601,86
51,vt,2019-01-01,,2020-06-20,536,554.54980842912,11.361092343549,522
52,wa,2019-01-01,,2020-06-20,536,740.54442344045,4.0598380214038,4761
53,wi,2019-01-01,,2020-06-20,536,706.32983005367,3.8354088767397,4472
54,wv,2019-01-01,,2020-06-20,536,678.12759270899,6.921019946396,1591
55,wy,2019-01-01,,2020-06-20,536,609.97073170732,12.615387318269,410
0,ak,2019-01-02,,2020-06-20,535,497.62618595825,10.222467397159,527
1,al,2019-01-02,,2020-06-20,535,620.49548499854,3.248044073985,3433
2,ar,2019-01-02,,2020-06-20,535,626.27692307692,4.0031344676371,2145
3,as,2019-01-02,,2020-06-20,535,407.15151515152,63.927087983524,33
4,az,2019-01-02,,2020-06-20,535,638.79807923169,3.2940728234204,4165
5,ca,2019-01-02,,2020-06-20,535,659.60381438395,1.3243319107602,23123
6,co,2019-01-02,,2020-06-20,535,604.52201079239,3.5738671733911,3521
7,ct,2019-01-02,,2020-06-20,535,617.54383242824,3.5706704161001,2578
8,dc,2019-01-02,,2020-06-20,535,460.61247216036,8.958746575454,449
9,de,2019-01-02,,2020-06-20,535,602.89145907473,7.8657011613233,562
10,fl,2019-01-02,,2020-06-20,535,596.30255057168,1.7771764926148,11370
11,ga,2019-01-02,,2020-06-20,535,607.82792972288,2.6495553947829,5521
12,gu,2019-01-02,,2020-06-20,535,572.69325153374,21.420884683769,163
13,hi,2019-01-02,,2020-06-20,535,604.73621103118,6.9945119921175,834
14,ia,2019-01-02,,2020-06-20,535,640.26608298439,3.7732729212842,2627
15,id,2019-01-02,,2020-06-20,535,608.54895833333,6.5684626195937,960
16,il,2019-01-02,,2020-06-20,535,637.15168423228,2.0913749138564,9678
17,in,2019-01-02,,2020-06-20,535,614.72712146423,2.8800090943927,4808
18,ks,2019-01-02,,2020-06-20,535,633.40707587383,3.8781865722138,2346
19,ky,2019-01-02,,2020-06-20,535,618.87492373398,3.3540178572615,3278
20,la,2019-01-02,,2020-06-20,535,581.11130434783,3.3856831413109,3450
21,ma,2019-01-02,,2020-06-20,535,568.86739218057,2.9008558822054,4962
22,md,2019-01-02,,2020-06-20,535,599.39825730395,2.9701385542168,3902
23,me,2019-01-02,,2020-06-20,535,514.07376283847,5.71490328226,1071
24,mi,2019-01-02,,2020-06-20,535,603.67724477245,2.2384866991807,8130
25,mn,2019-01-02,,2020-06-20,535,579.85721247563,3.0265246468441,4104
26,mo,2019-01-02,,2020-06-20,535,642.55962691539,2.9229761866991,4503
27,mp,2019-01-02,,2020-06-20,535,459.22727272727,36.967900246893,44
28,ms,2019-01-02,,2020-06-20,535,587.63792304126,4.1943267051325,2157
29,mt,2019-01-02,,2020-06-20,535,555.91278375149,7.6392760241722,837
30,nc,2019-01-02,,2020-06-20,535,567.33366045142,2.4989471720853,6114
31,nd,2019-01-02,,2020-06-20,535,543.19614711033,8.3149446602189,571
32,ne,2019-01-02,,2020-06-20,535,620.85039852851,4.7853052495854,1631
33,nh,2019-01-02,,2020-06-20,535,587.50705754615,6.1045852564249,921
34,nj,2019-01-02,,2020-06-20,535,651.28125994273,2.2083381017858,6286
35,nm,2019-01-02,,2020-06-20,535,602.95850622407,6.1163246346724,1446
36,nv,2019-01-02,,2020-06-20,535,651.98353457739,4.5997894610316,1822
37,ny,2019-01-02,,2020-06-20,535,602.36687286128,1.5796297117274,15196
38,oh,2019-01-02,,2020-06-20,535,632.26173696194,2.1163870730596,9223
39,ok,2019-01-02,,2020-06-20,535,614.87195945946,3.3449037203598,2960
40,or,2019-01-02,,2020-06-20,535,638.60182717929,4.0713344678039,2627
41,pa,2019-01-02,,2020-06-20,535,613.09628639029,2.0065631631514,9721
42,pr,2019-01-02,,2020-06-20,535,488.98057867618,4.3002354225107,2523
43,ri,2019-01-02,,2020-06-20,535,591.03965303594,7.2646715189857,807
44,sc,2019-01-02,,2020-06-20,535,586.12717712783,3.5333731947904,3043
45,sd,2019-01-02,,2020-06-20,535,552.19571865443,8.103557427695,654
46,tn,2019-01-02,,2020-06-20,535,611.256260637,3.0282495250754,4113
47,tx,2019-01-02,,2020-06-20,535,637.28489883935,1.522505866549,15767
48,ut,2019-01-02,,2020-06-20,535,667.36929460581,5.1179938994029,1687
49,va,2019-01-02,,2020-06-20,535,594.11362778407,2.7911761580417,5298
50,vi,2019-01-02,,2020-06-20,535,345.10465116279,22.755351614626,86
51,vt,2019-01-02,,2020-06-20,535,476.7792706334,8.606068563711,521
52,wa,2019-01-02,,2020-06-20,535,647.97921914358,3.0331655683739,4764
53,wi,2019-01-02,,2020-06-20,535,609.57513416816,2.7805883235566,4472
54,wv,2019-01-02,,2020-06-20,535,576.69201759899,5.4225405095553,1591
55,wy,2019-01-02,,2020-06-20,535,555.9902200489,9.4094355618648,409
0,ak,2019-01-03,-1,2020-06-20,534,501.93333333333,10.244700142657,525
1,al,2019-01-03,-1,2020-06-20,534,619.01747742499,3.0675153601435,3433
2,ar,2019-01-03,-1,2020-06-20,534,626.33442164179,3.8537684634465,2144
3,as,2019-01-03,-1,2020-06-20,534,392.3125,52.233008456138,32
4,az,2019-01-03,-1,2020-06-20,534,647.86386554622,3.2395907055534,4165
5,ca,2019-01-03,-1,2020-06-20,534,667.96543968165,1.2673961301617,23119
6,co,2019-01-03,-1,2020-06-20,534,617.69497301903,3.4891459715054,3521
7,ct,2019-01-03,-1,2020-06-20,534,624.87781225756,3.4663466836573,2578
8,dc,2019-01-03,0,2020-06-20,534,479.96436525612,8.8138881157304,449
9,de,2019-01-03,-1,2020-06-20,534,598.52220248668,7.8502737178568,563
10,fl,2019-01-03,-1,2020-06-20,534,604.00809075719,1.7196274400373,11371
