,geo_value,time_value,direction,issue,lag,value,stderr,sample_size
0,ak,2019-01-01,,2020-06-23,539,0.03051630039563,0.00095085868863699,523
1,al,2019-01-01,,2020-06-23,539,0.051752861952484,0.00049562786613485,3434
2,ar,2019-01-01,,2020-06-23,539,0.051756087093673,0.00068170780414047,2145
3,as,2019-01-01,,2020-06-23,539,0.092714810074332,0.0078510641192179,27
4,az,2019-01-01,,2020-06-23,539,0.03472012488972,0.00037079243504327,4162
5,ca,2019-01-01,,2020-06-23,539,0.037864531832409,0.00017833467497699,23117
6,co,2019-01-01,,2020-06-23,539,0.035486517278125,0.00041785480446148,3521
7,ct,2019-01-01,,2020-06-23,539,0.030506839500138,0.00042834542643334,2577
8,dc,2019-01-01,,2020-06-23,539,0.032187497813386,0.00092115623304993,449
9,de,2019-01-01,,2020-06-23,539,0.029903199884859,0.00097326619999352,562
10,fl,2019-01-01,,2020-06-23,539,0.033854865450305,0.00019907464557585,11373
11,ga,2019-01-01,,2020-06-23,539,0.034196670123242,0.00028751951627674,5521
12,gu,2019-01-01,,2020-06-23,539,0.087089421859998,0.0043080582033751,164
13,hi,2019-01-01,,2020-06-23,539,0.037154669633672,0.000901238660163,834
14,ia,2019-01-01,,2020-06-23,539,0.056613559684049,0.00069607771756929,2627
15,id,2019-01-01,,2020-06-23,539,0.037061829530564,0.00076864747123163,959
16,il,2019-01-01,,2020-06-23,539,0.046621805895473,0.00031094392623056,9679
17,in,2019-01-01,,2020-06-23,539,0.037151457667367,0.00036402498265656,4807
18,ks,2019-01-01,,2020-06-23,539,0.044992157703717,0.00059132028535691,2344
19,ky,2019-01-01,,2020-06-23,539,0.042488386942916,0.00051334038710768,3277
20,la,2019-01-01,,2020-06-23,539,0.068107988447593,0.00069796350623065,3450
21,ma,2019-01-01,,2020-06-23,539,0.042049107658644,0.00044701406299556,4958
22,md,2019-01-01,,2020-06-23,539,0.035605773692251,0.00041955109796502,3902
23,me,2019-01-01,,2020-06-23,539,0.041158098101858,0.0010001099278357,1070
24,mi,2019-01-01,,2020-06-23,539,0.036507074036269,0.00030004495956459,8127
25,mn,2019-01-01,,2020-06-23,539,0.052468837185729,0.00054604319969348,4104
26,mo,2019-01-01,,2020-06-23,539,0.053592066805821,0.00051263708479124,4502
27,mp,2019-01-01,,2020-06-23,539,0.088188501006475,0.0084574250815677,44
28,ms,2019-01-01,,2020-06-23,539,0.064344298726186,0.00076160023793651,2157
29,mt,2019-01-01,,2020-06-23,539,0.047618588056269,0.0011983577918542,837
30,nc,2019-01-01,,2020-06-23,539,0.036569657195241,0.00030060442366249,6115
31,nd,2019-01-01,,2020-06-23,539,0.049887079628666,0.0013948751469201,571
32,ne,2019-01-01,,2020-06-23,539,0.052568359924122,0.00086883905516432,1630
33,nh,2019-01-01,,2020-06-23,539,0.041160308532014,0.0008991590547494,921
34,nj,2019-01-01,,2020-06-23,539,0.036252820512269,0.00032738631207577,6284
35,nm,2019-01-01,,2020-06-23,539,0.040254066853426,0.0007891562128687,1446
36,nv,2019-01-01,,2020-06-23,539,0.038848225941314,0.00066240183371293,1822
37,ny,2019-01-01,,2020-06-23,539,0.036777454174586,0.00023550268372464,15189
38,oh,2019-01-01,,2020-06-23,539,0.035465123445642,0.00027767321958552,9221
39,ok,2019-01-01,,2020-06-23,539,0.048612587992707,0.00056871529879684,2960
40,or,2019-01-01,,2020-06-23,539,0.037131514571618,0.00055834619058921,2626
41,pa,2019-01-01,,2020-06-23,539,0.040060610939049,0.00032597978708468,9722
42,pr,2019-01-01,,2020-06-23,539,0.041862762376014,0.00070083696050728,2527
43,ri,2019-01-01,,2020-06-23,539,0.042441034819799,0.0012403035929056,807
44,sc,2019-01-01,,2020-06-23,539,0.042275838030458,0.00053980536363315,3041
45,sd,2019-01-01,,2020-06-23,539,0.054353745109645,0.001698552736817,653
46,tn,2019-01-01,,2020-06-23,539,0.049140898612459,0.0004987283501987,4113
47,tx,2019-01-01,,2020-06-23,539,0.048785909806647,0.00024440974823421,15762
48,ut,2019-01-01,,2020-06-23,539,0.042257155121927,0.00081087668864026,1687
49,va,2019-01-01,,2020-06-23,539,0.038223283626049,0.00043754019193244,5298
50,vi,2019-01-01,,2020-06-23,539,0.047341546697606,0.0036837429392658,86
51,vt,2019-01-01,,2020-06-23,539,0.045902926048874,0.0017521484906848,522
52,wa,2019-01-01,,2020-06-23,539,0.037644610099731,0.0004694470500481,4761
53,wi,2019-01-01,,2020-06-23,539,0.044909713300922,0.00049889563419811,4472
54,wv,2019-01-01,,2020-06-23,539,0.039805351959452,0.00084672259809547,1591
55,wy,2019-01-01,,2020-06-23,539,0.038563152485475,0.0014032160038599,410
0,ak,2019-01-02,,2020-06-23,538,0.070396200435634,0.0023264407755346,527
1,al,2019-01-02,,2020-06-23,538,0.089030822457114,0.00075962797430563,3433
2,ar,2019-01-02,,2020-06-23,538,0.095724240058313,0.0010494080309339,2145
3,as,2019-01-02,,2020-06-23,538,0.097835076596509,0.0067220538908959,33
4,az,2019-01-02,,2020-06-23,538,0.066105287206128,0.0006369909009919,4165
5,ca,2019-01-02,,2020-06-23,538,0.086135223788552,0.00031889239788022,23123
6,co,2019-01-02,,2020-06-23,538,0.084254532992324,0.00077403102603753,3521
7,ct,2019-01-02,,2020-06-23,538,0.10855405364534,0.0011482159617095,2578
8,dc,2019-01-02,,2020-06-23,538,0.088587556084307,0.0017227451413131,449
9,de,2019-01-02,,2020-06-23,538,0.094529511694576,0.0020337593347984,562
10,fl,2019-01-02,,2020-06-23,538,0.077786336836997,0.00033487642883315,11370
11,ga,2019-01-02,,2020-06-23,538,0.081988220756343,0.0005152592798925,5521
12,gu,2019-01-02,,2020-06-23,538,0.091110460267761,0.0039837028036691,163
13,hi,2019-01-02,,2020-06-23,538,0.081666914620051,0.0016039448178768,834
14,ia,2019-01-02,,2020-06-23,538,0.10572741244044,0.0010096765200229,2627
15,id,2019-01-02,,2020-06-23,538,0.076423887646237,0.0013323682814822,960
16,il,2019-01-02,,2020-06-23,538,0.086408829139932,0.00046725690670741,9678
17,in,2019-01-02,,2020-06-23,538,0.082675639126252,0.00062235618199817,4808
18,ks,2019-01-02,,2020-06-23,538,0.10310456260793,0.00097884902810778,2346
19,ky,2019-01-02,,2020-06-23,538,0.086351941419766,0.00080206661792314,3278
20,la,2019-01-02,,2020-06-23,538,0.091350727555487,0.00074270567812632,3450
21,ma,2019-01-02,,2020-06-23,538,0.089356812556593,0.00073507328477483,4962
22,md,2019-01-02,,2020-06-23,538,0.09013867941034,0.00071679342687042,3902
23,me,2019-01-02,,2020-06-23,538,0.083158144462708,0.0014113312024815,1071
24,mi,2019-01-02,,2020-06-23,538,0.066792508287566,0.00043519884433984,8130
25,mn,2019-01-02,,2020-06-23,538,0.097677416451533,0.00078776511282945,4104
26,mo,2019-01-02,,2020-06-23,538,0.086171936039406,0.00062153664109096,4503
27,mp,2019-01-02,,2020-06-23,538,0.090220090213641,0.0071722248300708,44
28,ms,2019-01-02,,2020-06-23,538,0.091665157326795,0.00095131704547418,2157
29,mt,2019-01-02,,2020-06-23,538,0.078810249183639,0.0015786309657646,837
30,nc,2019-01-02,,2020-06-23,538,0.086967606643952,0.00054679397346497,6114
31,nd,2019-01-02,,2020-06-23,538,0.10329019234778,0.0022803146956091,571
32,ne,2019-01-02,,2020-06-23,538,0.092685973326089,0.001167724131464,1631
33,nh,2019-01-02,,2020-06-23,538,0.089657331769465,0.0014900973952232,921
34,nj,2019-01-02,,2020-06-23,538,0.097929742924318,0.00059978453366526,6286
35,nm,2019-01-02,,2020-06-23,538,0.054290325737081,0.00088345541479532,1446
36,nv,2019-01-02,,2020-06-23,538,0.061544345826819,0.00079918192307828,1822
37,ny,2019-01-02,,2020-06-23,538,0.084781419246408,0.00039346169554883,15196
38,oh,2019-01-02,,2020-06-23,538,0.071896251511127,0.00043945775847491,9223
39,ok,2019-01-02,,2020-06-23,538,0.094048626181158,0.00078437750549031,2960
40,or,2019-01-02,,2020-06-23,538,0.075767824113909,0.00085355651005946,2627
41,pa,2019-01-02,,2020-06-23,538,0.082122722173678,0.00048778346869802,9721
42,pr,2019-01-02,,2020-06-23,538,0.058649959694761,0.00077800035997792,2523
43,ri,2019-01-02,,2020-06-23,538,0.087620163246672,0.0018306449587926,807
44,sc,2019-01-02,,2020-06-23,538,0.082825550538533,0.00075044998396383,3043
45,sd,2019-01-02,,2020-06-23,538,0.09915571162005,0.0020721990448587,654
46,tn,2019-01-02,,2020-06-23,538,0.089317695112466,0.00067299449944632,4113
47,tx,2019-01-02,,2020-06-23,538,0.080521180109182,0.00029825421319131,15767
48,ut,2019-01-02,,2020-06-23,538,0.096463233571978,0.0011776053097218,1687
49,va,2019-01-02,,2020-06-23,538,0.081152103552637,0.00058181085337542,5298
50,vi,2019-01-02,,2020-06-23,538,0.060396262105001,0.0047731612603062,86
